cnn6cequal
Initial validation accuracy: 9.09%
Round 280 validation accuracy: 63.83
Round 285 validation accuracy: 64.96
Round 290 validation accuracy: 63.07
Round 295 validation accuracy: 65.34
Round 300 validation accuracy: 63.64

cnn6cequal 64x64 
Initial validation accuracy: 6.25%
Round 5 validation accuracy: 9.09
Round 10 validation accuracy: 9.09
Round 15 validation accuracy: 9.09
Round 20 validation accuracy: 9.09
Round 25 validation accuracy: 9.09
Round 30 validation accuracy: 9.28
Round 35 validation accuracy: 9.09
Round 40 validation accuracy: 9.09
Round 45 validation accuracy: 17.05
Round 50 validation accuracy: 14.58
Round 55 validation accuracy: 9.09
Round 60 validation accuracy: 9.09
Round 65 validation accuracy: 14.39
Round 70 validation accuracy: 10.42
Round 75 validation accuracy: 9.09
Round 80 validation accuracy: 18.75
Round 85 validation accuracy: 12.50
Round 90 validation accuracy: 15.72
Round 95 validation accuracy: 26.70
Round 100 validation accuracy: 27.84
Round 105 validation accuracy: 30.49
Round 110 validation accuracy: 30.49
Round 115 validation accuracy: 30.87
Round 120 validation accuracy: 32.58
Round 125 validation accuracy: 35.23
Round 130 validation accuracy: 32.39
Round 135 validation accuracy: 35.42
Round 140 validation accuracy: 32.20
Round 145 validation accuracy: 40.34
Round 150 validation accuracy: 38.64
Round 155 validation accuracy: 44.51
Round 160 validation accuracy: 41.86
Round 165 validation accuracy: 42.23
Round 170 validation accuracy: 41.29
Round 175 validation accuracy: 45.83
Round 180 validation accuracy: 45.08
Round 185 validation accuracy: 48.86
Round 190 validation accuracy: 44.70
Round 195 validation accuracy: 49.62
Round 200 validation accuracy: 50.00
Round 205 validation accuracy: 49.05
Round 210 validation accuracy: 51.52
Round 215 validation accuracy: 53.22
Round 220 validation accuracy: 53.22
Round 225 validation accuracy: 57.01
Round 230 validation accuracy: 58.71
Round 235 validation accuracy: 59.66
Round 240 validation accuracy: 59.66
Round 245 validation accuracy: 60.04
Round 250 validation accuracy: 60.42
Round 255 validation accuracy: 61.93
Round 260 validation accuracy: 61.55
